NAICS Codes,NAICS Industry Description,Size standards in millions of dollars,Size standards in number of employees,Footnotes
112920,Horses and Other Equine Production,$2.75 ,,
112930,Fur‑Bearing Animal and Rabbit Production,$3.75 ,,
112990,All Other Animal Production,$2.75 ,,
113110,Timber Tract Operations,$19.00 ,,
113210,Forest Nurseries and Gathering of Forest Products,$20.50 ,,
113310,Logging,,500,
114111,Finfish Fishing,$25.00 ,,
114112,Shellfish Fishing,$14.00 ,,
114119,Other Marine Fishing,$11.50 ,,
114210,Hunting and Trapping,$8.50 ,,
115111,Cotton Ginning,$16.00 ,,
115112,"Soil Preparation, Planting, and Cultivating",$9.50 ,,
115113,"Crop Harvesting, Primarily by Machine",$13.50 ,,
115114,Postharvest Crop Activities (except Cotton Ginning),$34.00 ,,
115115,Farm Labor Contractors and Crew Leaders,$19.00 ,,
115116,Farm Management Services,$15.50 ,,
115210,Support Activities for Animal Production,$11.00 ,,
115310,Support Activities for Forestry  ,$11.50 ,,
115310 (Exception 1),Forest Fire Suppression1,$34.00 ,,See footnote 1
115310 (Exception 2),Fuels Management Services1,$34.00 ,,See footnote 1
211120,Crude Petroleum Extraction,,"1,250",
211130,Natural Gas Extraction,,"1,250",
212114,Surface Coal Mining,,"1,250",
212115,Underground Coal Mining,,"1,500",
212210,Iron Ore Mining,,"1,400",
212220,Gold Ore and Silver Ore Mining,,"1,500",
212230,"Copper, Nickel, Lead, and Zinc Mining",,1400,
212290,Other Metal Ore Mining,,1250,
212311,Dimension Stone Mining and Quarrying,,500,
212312,Crushed and Broken Limestone Mining and Quarrying,,750,
212313,Crushed and Broken Granite Mining and Quarrying,,850,
212319,Other Crushed and Broken Stone Mining and Quarrying,,550,
212321,Construction Sand and Gravel Mining,,500,
212322,Industrial Sand Mining,,750,
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",,650,
212390,Other Nonmetallic Mineral Mining and Quarrying,,600,
213111,Drilling Oil and Gas Wells,,"1,000",
213112,Support Activities for Oil and Gas Operations,$47.00 ,,
213113,Support Activities for Coal Mining,$27.50 ,,
213114,Support Activities for Metal Mining,$41.00 ,,
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,$20.50 ,,
221111,Hydroelectric Power Generation,,750,
221112,Fossil Fuel Electric Power Generation,,950,
221113,Nuclear Electric Power Generation,,"1,150",
221114,Solar Electric Power Generation,,500,
221115,Wind Electric Power Generation,,"1,150",
221116,Geothermal Electric Power Generation,,250,
221117,Biomass Electric Power Generation,,550,
221118,Other Electric Power Generation,,650,
221121,Electric Bulk Power Transmission and Control,,950,
221122,Electric Power Distribution,,"1,100",
221210,Natural Gas Distribution,,"1,150",
221310,Water Supply and Irrigation Systems,$41.00 ,,
221320,Sewage Treatment Facilities,$35.00 ,,
221330,Steam and Air‑Conditioning Supply,$30.00 ,,
236115,New Single-family Housing Construction (Except For-Sale Builders),$45.00 ,,
236116,New Multifamily Housing Construction (except For-Sale Builders),$45.00 ,,
236117,New Housing For-Sale Builders,$45.00 ,,
236118,Residential Remodelers,$45.00 ,,
236210,Industrial Building Construction,$45.00 ,,
236220,Commercial and Institutional Building Construction,$45.00 ,,
237110,Water and Sewer Line and Related Structures Construction,$45.00 ,,
237120,Oil and Gas Pipeline and Related Structures Construction,$45.00 ,,
237130,Power and Communication Line and Related Structures Construction,$45.00 ,,
237210,Land Subdivision,$34.00 ,,
237310,"Highway, Street, and Bridge Construction",$45.00 ,,
237990,Other Heavy and Civil Engineering Construction,$45.00 ,,
237990 (Exception),Dredging and Surface Cleanup Activities2,$37.00 ,,See footnote 2
238110,Poured Concrete Foundation and Structure Contractors,$19.00 ,,
238120,Structural Steel and Precast Concrete Contractors,$19.00 ,,
238130,Framing Contractors,$19.00 ,,
238140,Masonry Contractors,$19.00 ,,
238150,Glass and Glazing Contractors,$19.00 ,,
238160,Roofing Contractors,$19.00 ,,
238170,Siding Contractors,$19.00 ,,
238190,"Other Foundation, Structure, and Building Exterior Contractors",$19.00 ,,
238210,Electrical Contractors and Other Wiring Installation Contractors,$19.00 ,,
238220,"Plumbing, Heating, and Air‑Conditioning Contractors   ",$19.00 ,,
238290,Other Building Equipment Contractors,$22.00 ,,
238310,Drywall and Insulation Contractors,$19.00 ,,
238320,Painting and Wall Covering Contractors,$19.00 ,,
238330,Flooring Contractors,$19.00 ,,
238340,Tile and Terrazzo Contractors,$19.00 ,,
238350,Finish Carpentry Contractors,$19.00 ,,
238390,Other Building Finishing Contractors,$19.00 ,,
238910,Site Preparation Contractors,$19.00 ,,
238990,All Other Specialty Trade Contractors,$19.00 ,,
238990 (Exception),Building and Property Specialty Trade Services 13,$19.00 ,,See footnote 13
311111,Dog and Cat Food Manufacturing,,"1,250",
311119,Other Animal Food Manufacturing,,650,
311211,Flour Milling,,"1,050",
311212,Rice Milling,,750,
311213,Malt Manufacturing,,500,
311221,Wet Corn Milling and Starch Manufacturing,,"1,300",
311224,Soybean and Other Oilseed Processing,,"1,250",
311225,Fats and Oils Refining and Blending,,"1,100",
311230,Breakfast Cereal Manufacturing,,"1,300",
311313,Beet Sugar Manufacturing,,"1,150",
311314,Cane Sugar Manufacturing,,"1,050",
311340,Nonchocolate Confectionery Manufacturing,,"1,000",
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,,"1,250",
311352,Confectionery Manufacturing from Purchased Chocolate,,"1,000",
311411,"Frozen Fruit, Juice and Vegetable Manufacturing",,"1,100",
311412,Frozen Specialty Food Manufacturing,,"1,250",
311421,Fruit and Vegetable Canning3,,"1,000",See footnote 3
311422,Specialty Canning,,"1,400",
311423,Dried and Dehydrated Food Manufacturing,,750,
311511,Fluid Milk Manufacturing,,"1,150",
311512,Creamery Butter Manufacturing,,750,
311513,Cheese Manufacturing,,"1,250",
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",,"1,000",
311520,Ice Cream and Frozen Dessert Manufacturing,,"1,000",
311611,Animal (except Poultry) Slaughtering,,"1,150",
311612,Meat Processed from Carcasses,,"1,000",
311613,Rendering and Meat Byproduct Processing,,750,
311615,Poultry Processing,,"1,250",
311710,Seafood Product Preparation and Packaging,,750,
311811,Retail Bakeries,,500,
311812,Commercial Bakeries,,"1,000",
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",,750,
311821,Cookie and Cracker Manufacturing,,"1,250",
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",,850,
311830,Tortilla Manufacturing,,"1,250",
311911,Roasted Nuts and Peanut Butter Manufacturing,,750,
311919,Other Snack Food Manufacturing,,"1,250",
311920,Coffee and Tea Manufacturing,,"1,000",
311930,Flavoring Syrup and Concentrate Manufacturing,,"1,100",
311941,"Mayonnaise, Dressing and Other Prepared Sauce Manufacturing",,850,
311942,Spice and Extract Manufacturing,,650,
311991,Perishable Prepared Food Manufacturing,,700,
311999,All Other Miscellaneous Food Manufacturing,,700,
312111,Soft Drink Manufacturing  ,,"1,400",
312112,Bottled Water Manufacturing,,"1,100",
312113,Ice Manufacturing,,750,
312120,Breweries,,"1,250",
312130,Wineries,,"1,000",
312140,Distilleries,,"1,100",
312230,Tobacco Manufacturing,,"1,500",
313110,"Fiber, Yarn, and Thread Mills",,"1,250",
313210,Broadwoven Fabric Mills,,"1,000",
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,,550,
313230,Nonwoven Fabric Mills,,850,
313240,Knit Fabric Mills,,500,
313310,Textile and Fabric Finishing Mills,,"1,000",
313320,Fabric Coating Mills,,"1,000",
314110,Carpet and Rug Mills,,"1,500",
314120,Curtain and Linen Mills,,750,
314910,Textile Bag and Canvas Mills,,500,
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",,"1,000",
314999,All Other Miscellaneous Textile Product Mills,,550,
315120,Apparel Knitting Mills,,850,
315210,Cut and Sew Apparel Contractors,,750,
315250,Cut and Sew Apparel Manufacturing (except Contractors),,750,
315990,Apparel Accessories and Other Apparel Manufacturing,,600,
316110,Leather and Hide Tanning and Finishing,,800,
316210,Footwear Manufacturing,,"1,000",
316990,Other Leather and Allied Product Manufacturing,,500,
321113,Sawmills,,550,
321114,Wood Preservation  ,,550,
321211,Hardwood Veneer and Plywood Manufacturing  ,,600,
321212,Softwood Veneer and Plywood Manufacturing  ,,"1,250",
321215,Engineered Wood Member Manufacturing,,500,
321219,Reconstituted Wood Product Manufacturing  ,,750,
321911,Wood Window and Door Manufacturing  ,,"1,000",
321912,"Cut Stock, Resawing Lumber, and Planing  ",,500,
321918,Other Millwork (including Flooring)  ,,500,
321920,Wood Container and Pallet Manufacturing,,500,
321991,Manufactured Home (Mobile Home) Manufacturing,,"1,250",
321992,Prefabricated Wood Building Manufacturing,,500,
321999,All Other Miscellaneous Wood Product Manufacturing,,500,
322110,Pulp Mills,,"1,050",
322120,Paper Mills,,"1,250",
322130,Paperboard Mills,,"1,250",
322211,Corrugated and Solid Fiber Box Manufacturing,,"1,250",
322212,Folding Paperboard Box Manufacturing,,750,
322219,Other Paperboard Container Manufacturing,,"1,000",
322220,Paper Bag and Coated and Treated Paper Manufacturing,,750,
322230,Stationery Product Manufacturing,,750,
322291,Sanitary Paper Product Manufacturing,,"1,500",
322299,All Other Converted Paper Product Manufacturing  ,,500,
323111,Commercial Printing (except Screen and Books),,650,
323113,Commercial Screen Printing,,500,
323117,Books Printing,,"1,250",
323120,Support Activities for Printing,,550,
324110,Petroleum Refineries4,,"1,500",See footnote 4
324121,Asphalt Paving Mixture and Block Manufacturing,,500,
324122,Asphalt Shingle and Coating Materials Manufacturing,,"1,100",
324191,Petroleum Lubricating Oil and Grease Manufacturing,,900,
324199,All Other Petroleum and Coal Products Manufacturing,,950,
325110,Petrochemical Manufacturing,,"1,300",
325120,Industrial Gas Manufacturing,,"1,200",
325130,Synthetic Dye and Pigment Manufacturing,,"1,050",
325180,Other Basic Inorganic Chemical Manufacturing,,"1,000",
325193,Ethyl Alcohol Manufacturing,,"1,000",
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",,"1,250",
325199,All Other Basic Organic Chemical Manufacturing  ,,"1,250",
325211,Plastics Material and Resin Manufacturing,,"1,250",
325212,Synthetic Rubber Manufacturing,,"1,000",
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,,"1,050",
325311,Nitrogenous Fertilizer Manufacturing,,"1,050",
325312,Phosphatic Fertilizer Manufacturing,,"1,350",
325314,Fertilizer (Mixing Only) Manufacturing,,550,
325315,Compost Manufacturing,,550,
325320,Pesticide and Other Agricultural Chemical Manufacturing,,"1,150",
325411,Medicinal and Botanical Manufacturing,,"1,000",
325412,Pharmaceutical Preparation Manufacturing,,"1,300",
325413,In‑Vitro Diagnostic Substance Manufacturing,,"1,250",
325414,Biological Product (except Diagnostic) Manufacturing,,"1,250",
325510,Paint and Coating Manufacturing,,"1,000",
325520,Adhesive Manufacturing,,550,
325611,Soap and Other Detergent Manufacturing,,"1,100",
325612,Polish and Other Sanitation Good Manufacturing  ,,900,
325613,Surface Active Agent Manufacturing,,"1,100",
325620,Toilet Preparation Manufacturing,,"1,250",
325910,Printing Ink Manufacturing,,750,
325920,Explosives Manufacturing,,750,
325991,Custom Compounding of Purchased Resins,,600,
325992,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing",,"1,500",
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,,650,
326111,Plastic Bag and Pouch Manufacturing,,750,
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,,"1,000",
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,,750,
326121,Unlaminated Plastics Profile Shape Manufacturing,,600,
326122,Plastics Pipe and Pipe Fitting Manufacturing,,750,
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",,650,
326140,Polystyrene Foam Product Manufacturing,,"1,000",
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,,750,
326160,Plastics Bottle Manufacturing,,"1,250",
326191,Plastics Plumbing Fixture Manufacturing,,750,
326199,All Other Plastics Product Manufacturing,,750,
326211,Tire Manufacturing (except Retreading)5,,"1,500",See footnote 5
326212,Tire Retreading,,500,
326220,Rubber and Plastics Hoses and Belting Manufacturing,,800,
326291,Rubber Product Manufacturing for Mechanical Use,,750,
326299,All Other Rubber Product Manufacturing,,650,
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",,"1,000",
327120,Clay Building Material and Refractories Manufacturing,,750,
327211,Flat Glass Manufacturing,,"1,100",
327212,Other Pressed and Blown Glass and Glassware Manufacturing,,"1,250",
327213,Glass Container Manufacturing,,"1,250",
327215,Glass Product Manufacturing Made of Purchased Glass,,"1,000",
327310,Cement Manufacturing,,"1,000",
327320,Ready‑Mix Concrete Manufacturing,,500,
327331,Concrete Block and Brick Manufacturing,,500,
327332,Concrete Pipe Manufacturing,,750,
327390,Other Concrete Product Manufacturing,,500,
327410,Lime Manufacturing,,"1,050",
327420,Gypsum Product Manufacturing,,"1,500",
327910,Abrasive Product Manufacturing,,900,
327991,Cut Stone and Stone Product Manufacturing,,500,
327992,Ground or Treated Mineral and Earth Manufacturing,,600,
327993,Mineral Wool Manufacturing,,"1,500",
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,,750,
331110,Iron and Steel Mills and Ferroalloy Manufacturing,,"1,500",
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,,"1,000",
331221,Rolled Steel Shape Manufacturing,,"1,000",
331222,Steel Wire Drawing,,"1,000",
331313,Alumina Refining and Primary Aluminum Production,,"1,300",
331314,Secondary Smelting and Alloying of Aluminum,,750,
331315,"Aluminum Sheet, Plate and Foil Manufacturing",,"1,400",
331318,"Other Aluminum Rolling, Drawing, and Extruding",,750,
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,,"1,000",
331420,"Copper Rolling, Drawing, Extruding, and Alloying",,"1,050",
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing and Extruding",,900,
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)  ",,850,
331511,Iron Foundries,,"1,000",
331512,Steel Investment Foundries,,"1,050",
331513,Steel Foundries (except Investment),,700,
331523,Nonferrous Metal Die-Casting Foundries,,700,
331524,Aluminum Foundries (except Die‑Casting),,550,
331529,Other Nonferrous Metal Foundries (except Die-Casting),,500,
332111,Iron and Steel Forging,,750,
332112,Nonferrous Forging,,950,
332114,Custom Roll Forming,,600,
332117,Powder Metallurgy Part Manufacturing,,550,
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",,500,
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",,"1,000",
332216,Saw Blade and Handtool Manufacturing,,750,
332311,Prefabricated Metal Building and Component Manufacturing,,750,
332312,Fabricated Structural Metal Manufacturing,,500,
332313,Plate Work Manufacturing,,750,
332321,Metal Window and Door Manufacturing,,750,
332322,Sheet Metal Work Manufacturing,,500,
332323,Ornamental and Architectural Metal Work Manufacturing,,500,
332410,Power Boiler and Heat Exchanger Manufacturing  ,,750,
332420,Metal Tank (Heavy Gauge) Manufacturing,,750,
332431,Metal Can Manufacturing,,"1,500",
332439,Other Metal Container Manufacturing,,600,
332510,Hardware Manufacturing,,750,
332613,Spring Manufacturing,,600,
332618,Other Fabricated Wire Product Manufacturing,,500,
332710,Machine Shops,,500,
332721,Precision Turned Product Manufacturing,,500,
332722,"Bolt, Nut, Screw, Rivet and Washer Manufacturing",,600,
332811,Metal Heat Treating,,750,
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",,600,
332813,"Electroplating, Plating, Polishing, Anodizing and Coloring",,500,
332911,Industrial Valve Manufacturing,,750,
332912,Fluid Power Valve and Hose Fitting Manufacturing,,"1,000",
332913,Plumbing Fixture Fitting and Trim Manufacturing,,"1,000",
332919,Other Metal Valve and Pipe Fitting Manufacturing,,750,
332991,Ball and Roller Bearing Manufacturing,,"1,250",
332992,Small Arms Ammunition Manufacturing,,"1,300",
332993,Ammunition (except Small Arms) Manufacturing,,"1,500",
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",,"1,000",
332996,Fabricated Pipe and Pipe Fitting Manufacturing,,550,
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,750,
333111,Farm Machinery and Equipment Manufacturing  ,,"1,250",
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,,"1,500",
333120,Construction Machinery Manufacturing,,"1,250",
333131,Mining Machinery and Equipment Manufacturing,,900,
333132,Oil and Gas Field Machinery and Equipment Manufacturing,,"1,250",
333241,Food Product Machinery Manufacturing,,500,
333242,Semiconductor Machinery Manufacturing,,"1,500",
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",,550,
333248,All Other Industrial Machinery Manufacturing,,750,
333310,Commercial and Service Industry Machinery Manufacturing,,"1,000",
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,,500,
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,,500,
333415,Air‑Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,,"1,250",
333511,Industrial Mold Manufacturing,,500,
333514,"Special Die and Tool, Die Set, Jig and Fixture Manufacturing",,500,
333515,Cutting Tool and Machine Tool Accessory Manufacturing,,500,
333517,Machine Tool Manufacturing,,500,
333519,Rolling Mill and Other Metalworking Machinery Manufacturing,,500,
333611,Turbine and Turbine Generator Set Unit Manufacturing,,"1,500",
333612,"Speed Changer, Industrial High‑Speed Drive and Gear Manufacturing",,750,
333613,Mechanical Power Transmission Equipment Manufacturing,,750,
333618,Other Engine Equipment Manufacturing,,"1,500",
333912,Air and Gas Compressor Manufacturing,,"1,000",
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",,750,
333921,Elevator and Moving Stairway Manufacturing,,"1,000",
333922,Conveyor and Conveying Equipment Manufacturing  ,,500,
333923,"Overhead Traveling Crane, Hoist and Monorail System Manufacturing",,"1,250",
333924,"Industrial Truck, Tractor, Trailer and Stacker Machinery Manufacturing",,900,
333991,Power‑Driven Hand Tool Manufacturing,,950,
333992,Welding and Soldering Equipment Manufacturing,,"1,250",
333993,Packaging Machinery Manufacturing,,600,
333994,Industrial Process Furnace and Oven Manufacturing,,500,
333995,Fluid Power Cylinder and Actuator Manufacturing,,800,
333996,Fluid Power Pump and Motor Manufacturing,,"1,250",
333998,All Other Miscellaneous General Purpose Machinery Manufacturing,,700,
334111,Electronic Computer Manufacturing,,"1,250",
334112,Computer Storage Device Manufacturing,,"1,250",
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,,"1,000",
334210,Telephone Apparatus Manufacturing,,"1,250",
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,,"1,250",
334290,Other Communications Equipment Manufacturing,,800,
334310,Audio and Video Equipment Manufacturing,,750,
334412,Bare Printed Circuit Board Manufacturing,,750,
334413,Semiconductor and Related Device Manufacturing,,"1,250",
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",,550,
334417,Electronic Connector Manufacturing,,"1,000",
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,,750,
334419,Other Electronic Component Manufacturing,,750,
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,,"1,250",
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",,"1,350",
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial and Appliance Use",,650,
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",,750,
334514,Totalizing Fluid Meter and Counting Device Manufacturing,,850,
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,,750,
334516,Analytical Laboratory Instrument Manufacturing,,"1,000",
334517,Irradiation Apparatus Manufacturing,,"1,200",
334519,Other Measuring and Controlling Device Manufacturing,,600,
334610,Manufacturing and Reproducing Magnetic and Optical Media,,"1,250",
335131,Residential Electric Lighting Fixture Manufacturing,,750,
335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",,600,
335139,Electric Lamp Bulb and Other Lighting Equipment Manufacturing,,"1,250",
335210,Small Electrical Appliance Manufacturing,,"1,500",
335220,Major Household Appliance Manufacturing,,"1,500",
335311,"Power, Distribution and Specialty Transformer Manufacturing",,800,
335312,Motor and Generator Manufacturing,,"1,250",
335313,Switchgear and Switchboard Apparatus Manufacturing,,"1,250",
335314,Relay and Industrial Control Manufacturing,,750,
335910,Battery Manufacturing,,"1,250",
335921,Fiber Optic Cable Manufacturing,,"1,000",
335929,Other Communication and Energy Wire Manufacturing,,"1,000",
335931,Current‑Carrying Wiring Device Manufacturing,,600,
335932,Noncurrent‑Carrying Wiring Device Manufacturing,,"1,000",
335991,Carbon and Graphite Product Manufacturing,,900,
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,,600,
336110,Automobile and Light Duty Motor Vehicle Manufacturing,,"1,500",
336120,Heavy Duty Truck Manufacturing,,"1,500",
336211,Motor Vehicle Body Manufacturing,,"1,000",
336212,Truck Trailer Manufacturing,,"1,000",
336213,Motor Home Manufacturing,,"1,250",
336214,Travel Trailer and Camper Manufacturing,,"1,000",
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,,"1,050",
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,,"1,000",
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,,"1,000",
336340,Motor Vehicle Brake System Manufacturing,,"1,250",
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,,"1,500",
336360,Motor Vehicle Seating and Interior Trim Manufacturing,,"1,500",
336370,Motor Vehicle Metal Stamping  ,,"1,000",
336390,Other Motor Vehicle Parts Manufacturing,,"1,000",
336411,Aircraft Manufacturing,,"1,500",
336412,Aircraft Engine and Engine Parts Manufacturing,,"1,500",
336413,Other Aircraft Part and Auxiliary Equipment Manufacturing7   ,,"1,250",See footnote 7
336414,Guided Missile and Space Vehicle Manufacturing,,"1,300",
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,,"1,250",
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,,"1,050",
336510,Railroad Rolling Stock Manufacturing  ,,"1,500",
336611,Ship Building and Repairing,,"1,300",
336612,Boat Building,,"1,000",
336991,"Motorcycle, Bicycle and Parts Manufacturing",,"1,050",
336992,"Military Armored Vehicle, Tank and Tank Component Manufacturing",,"1,500",
336999,All Other Transportation Equipment Manufacturing  ,,"1,000",
337110,Wood Kitchen Cabinet and Counter Top Manufacturing,,750,
337121,Upholstered Household Furniture Manufacturing,,"1,000",
337122,Nonupholstered Wood Household Furniture Manufacturing,,750,
337126,Household Furniture (except Wood and Upholstered) Manufacturing,,950,
337127,Institutional Furniture Manufacturing,,500,
337211,Wood Office Furniture Manufacturing,,"1,000",
337212,Custom Architectural Woodwork and Millwork Manufacturing,,500,
337214,Office Furniture (Except Wood) Manufacturing,,"1,100",
337215,"Showcase, Partition, Shelving, and Locker Manufacturing",,500,
337910,Mattress Manufacturing,,"1,000",
337920,Blind and Shade Manufacturing,,"1,000",
339112,Surgical and Medical Instrument Manufacturing,,"1,000",
339113,Surgical Appliance and Supplies Manufacturing,,800,
339114,Dental Equipment and Supplies Manufacturing,,750,
339115,Ophthalmic Goods Manufacturing,,"1,000",
339116,Dental Laboratories,,500,
339910,Jewelry and Silverware Manufacturing,,700,
339920,Sporting and Athletic Goods Manufacturing,,750,
339930,"Doll, Toy, and Game Manufacturing",,700,
339940,Office Supplies (except Paper) Manufacturing,,750,
339950,Sign Manufacturing,,500,
339991,"Gasket, Packing, and Sealing Device Manufacturing  ",,600,
339992,Musical Instrument Manufacturing,,"1,000",
339993,"Fastener, Button, Needle and Pin Manufacturing",,750,
339994,"Broom, Brush and Mop Manufacturing",,750,
339995,Burial Casket Manufacturing,,"1,000",
339999,All Other Miscellaneous Manufacturing,,550,
,(These NAICS codes shall not be used to classify Government acquisitions for supplies.  They also shall not be used by Federal government contractors when subcontracting for the acquisition for supplies.  The applicable manufacturing NAICS code shall be used to classify acquisitions for supplies.  A Wholesale Trade or Retail Trade business concern submitting an offer or a quote on a supply acquisition is categorized as a nonmanufacturer and deemed small if it has 500 or fewer employees and meets the requirements of 13 CFR 121.406.),,,
423110,Automobile and Other Motor Vehicle Merchant Wholesalers,,250,
423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,,200,
423130,Tire and Tube Merchant Wholesalers,,200,
423140,Motor Vehicle Parts (Used) Merchant Wholesalers,,125,
423210,Furniture Merchant Wholesalers,,100,
423220,Home Furnishing Merchant Wholesalers,,100,
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",,150,
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",,150,
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",,225,
423390,Other Construction Material Merchant Wholesalers,,100,
423410,Photographic Equipment and Supplies Merchant Wholesalers,,200,
423420,Office Equipment Merchant Wholesalers,,200,
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,,250,
423440,Other Commercial Equipment Merchant Wholesalers,,100,
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",,200,
423460,Ophthalmic Goods Merchant Wholesalers,,175,
423490,Other Professional Equipment and Supplies Merchant Wholesalers,,150,
423510,Metal Service Centers and Other Metal Merchant Wholesalers,,200,
423520,Coal and Other Mineral and Ore Merchant Wholesalers,,200,
