"PAN, Solicitation, or Contract Number
","If Follow-on, Provide Current Contract Number",Description of Requirement ,Consolidation Anticipated?,Bundling Anticipated?,Forecasted contract value,Forecasted_PSC,Anticipated NAICS ,"Anticipated Type of Set Aside 
or Unknown",PROCACT,"Indefinite Delivery Vehicle Type (for task/delivery orders) 
or Unknown","Anticipated Contract Type 
or Unknown",Anticipated Solicitation Date,Anticipated Solicitation Closing Date,Forecasted Award Date,Period of Performance,Contracting Office,Contracting Office,Requiring Activity Office ,Assigned Small Business Office ,Assigned Small Business Office Email
PANMCC-25-P-0000 004296,,5BDE Drill Team Competition Championship,No,No,$25K to $250K,X1AB,531120,,BPA,,Firm Fixed Price,12/2/2024,12/18/2024,1/9/2025,1,MICC,FDO FSH,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W912CH-25-Q-0015,,"EH4C0147EH 010551493 VALVE,AIRFLOW",,,< $25K,4240,,,PO,,Firm Fixed Price,12/24/2024,,3/7/2025,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANAPG-25-P-0000 001368,,PPMT #16287 CMVPA GEN3 TO,,,$1M to $5M,R425,,,DO NEG,,Cost Plus Fixed Fee,12/16/2024,1/15/2025,1/16/2025,18,ACC CTRS,ACC-APG,PEO IEWS,ACC OSBP - APG,https://osbp.apg.army.mil
PANAPG-24-P-0000 022250,,ESI BAA Next Generation Flexible Digital Antenna,,,$10M to $25M,AJ12,,,CONTR,,Cost Plus Fixed Fee,,,1/31/2025,24,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
W912CH-24-R-0156,,CRS-H/MTRS Software Sustainment Contract,Yes,No,$50M to $100M,6665,334511,,CONTR,,Cost Plus Fixed Fee,12/20/2024,2/14/2025,3/28/2025,84,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W900KK-25-F-0051,,"ADA-T Delivery Order 51, Hardware",,,$1M to $5M,1550,,,DO,,Firm Fixed Price,,,11/29/2024,12,ACC CTRS,ACC-ORL,PEO STRI,ACC OSBP - ORL,usarmy.orlando.peo-stri.list.office-of-small-business-programs@army.mil
PANRSA-25-P-0000 005915,,GMLRS FY23-27 IDIQ Comp Subcontracting Plan ,,,< $25K,1410,,,,,,,,12/20/2024,36,ACC CTRS,ACC-RSA,PEO MS,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANAPG-25-P-0000 002367,,W911QY19D0010 22F0012 INCREMENTAL FUNDING FOR EXT,,,$1M to $5M,N/A,,,,,,,,12/31/2024,12,ACC CTRS,ACC-APG,JPEO CBRND,ACC OSBP - APG,https://osbp.apg.army.mil
PANMCC-25-P-0000 002586,,deobligatio RTOP 24-008,,,< $25K,N/A,,,,,,,,11/29/2024,1,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANROC-24-P-0000 009156,,CDAO - AI TALENT 2.0 - BOA - TECHSENSUS,,,< $25K,R425,,,BPA,,Order Dependent,10/7/2024,,11/29/2024,48,ACC CTRS,ACC-RI,CDAO,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANMCC-24-P-0000 019931,W9124720D9001,FORSCOM Language Contract (ReCompete),,,$25M to $50M,U009,,SMALL BUSINESS SET ASIDE - TOTAL,CONTR,,Firm Fixed Price,4/21/2025,5/21/2025,6/1/2025,60,MICC,419TH CSB,FORSCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W519TC-25-F-CELL,,CAAA FY25 S6 AT&T Mobile Cellular Services,No,No,$25K to $250K,DG11,517112,,DO,,Firm Fixed Price,11/19/2024,,12/1/2024,12,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W58RGZ-25-B-0007,,"T405-01 AX4M3561AX ENGINE, GAS TURBINE ",No,No,$10M to $25M,2835,333611,,CONTR,,Firm Fixed Price,11/14/2024,12/16/2024,9/23/2026,60,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANROC-25-P-0000 002759,,FRS GENERATORS: Nate Tutor,,,$25K to $250K,J049,,,,,,,,11/27/2024,1,ACC CTRS,ACC-RI,AMC: TACOM,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W912CH-25-F-0083,,M1300 MOD Kits Delivery Order,,,$1M to $5M,2320,,,DO,,Fixed Price with Economic Price Adjustment,11/20/2024,,12/10/2024,12,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANAPG-24-P-0000 004695,,CBRND Professional Services for JPM Sensors BE,No,No,$10M to $25M,R499,541330,,DO NEG,,Firm Fixed Price,,,7/31/2025,12,ACC CTRS,ACC-APG,JPEO CBRND,ACC OSBP - APG,https://osbp.apg.army.mil
W911SA-25-Q-A007,W911SA20P3024,12218794 MN076 GROUNDS BASE PLUS 4  2/1/2025,,,$1M to $5M,S208,,WOMEN OWNED SMALL BUSINESS,CONTR,,Firm Fixed Price,12/16/2024,1/10/2025,2/1/2025,12,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W519TC-25-Q-2052,,Wood Ties Ft Moore 4422151,,,$25K to $250K,5510,,,PO,,Firm Fixed Price,12/2/2024,12/9/2024,1/31/2025,1,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANAPG-24-P-0000 013039,W56ZTN20D0011,DPW HVAC WATER TREATMENT  ,,,$1M to $5M,6810,,SMALL BUSINESS SET ASIDE - TOTAL,CONTR,,Firm Fixed Price,1/17/2025,2/18/2025,2/7/2025,60,ACC CTRS,ACC-APG,AMC: IMCOM,ACC OSBP - APG,https://osbp.apg.army.mil
W912CL-25-R-0001,,JDG JTG-GTMO Detainee Support Services,No,No,$1M to $5M,U008,611710,,CONTR,,Firm Fixed Price,11/22/2024,12/23/2024,5/1/2025,67,ACC OO,410TH CSB,USARSO,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANROC-25-P-0000 003408,,HL9 Surge (Jade Cobra V & Friendship XXV Exercise),,,$25K to $250K,N/A,,,DO,,Firm Fixed Price,,,12/26/2024,2,ACC CTRS,ACC-RI,USARCENT,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANMCC-25-P-0000 007296,,OTC FORWARD OPTICS,,,$25K to $250K,7G21,,,DO,,Firm Fixed Price,12/4/2024,12/18/2024,1/31/2025,6,MICC,418TH CSB,USATEC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W911W4-09-D-0004 0001,,Northrop Grumman,,,$10M to $25M,N/A,,,DO NEG,,Firm Fixed Price,,,,60,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W912CH-25-Q-0006,,CIT-EH4C1061EH-HAND CONTROL UNIT,,,$25K to $250K,1095,,,CONTR,,Firm Fixed Price,11/25/2024,12/27/2024,12/10/2024,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANAPG-24-P-0000 022854,W56KGU23C0003,Re-compete Effort for Contract,,,$50M to $100M,N/A,,8(A) SOLE SOURCE ,,,,,,1/29/2025,52,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
PANAPG-25-P-0000 002049,,OCIE LE-B-BAS LEBANON NVG STRAPS (002049),,,$25K to $250K,8465,,,DO NEG,,Firm Fixed Price,11/20/2024,12/18/2024,1/7/2025,12,ACC CTRS,ACC-APG,AMC: USASAC,ACC OSBP - APG,https://osbp.apg.army.mil
PANAPG-24-P-0000 009076,W91CRB20D0021,AEC Recompete 2025,,,$100M to $250M,H910,,SMALL BUSINESS SET ASIDE - TOTAL,CONTR,,Cost Plus Fixed Fee,8/4/2025,9/4/2025,3/31/2025,60,ACC CTRS,ACC-APG,USATEC,ACC OSBP - APG,https://osbp.apg.army.mil
W56KGU-25-2-0023,,FY25 APEX Award - Indiana Econ Development Corp,,,< $25K,R499,,,CA,,Cost No Fee,,,,12,ACC CTRS,ACC-APG,OSD,ACC OSBP - APG,https://osbp.apg.army.mil
W912CH-25-F-0048,,VPS: VBK WD 0001,,,$1M to $5M,2590,,,DO,,Cost Plus Fixed Fee,,,,9,ACC CTRS,ACC-DTA,PEO GCS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-25-P-0000 006381,,12030233 MN036 SNOW BASE YR FY24 DEOB ,,,< $25K,S218,,,,,,,,1/31/2025,12,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANROC-25-P-0000 000254,,GSDM-25-0013_Network Equipment Tech Refresh,,,$250K to $1M,7B22,,,DO,,Firm Fixed Price,12/10/2024,12/20/2024,2/28/2025,12,ACC CTRS,ACC-RI,AMC: SDDC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANDTA-25-P-0000 002179,,r&d dcs tes,,,$1M to $5M,N/A,,,,,,,,12/30/2024,12,ACC CTRS,ACC-DTA,AFC: CCDC,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANAPG-24-P-0000 018856,W56KGY19D0020,16023 | PSS-T (IDIQ),,,$10M to $25M,N/A,,,DO NEG,IDC,Cost Plus Fixed Fee,,,9/30/2025,60,ACC CTRS,ACC-APG,PEO IEWS,ACC OSBP - APG,https://osbp.apg.army.mil
PAN414-25-P-0000 000436,,CDMIC Zambia - Venue,,,$25K to $250K,V231,,,CONTR,,Firm Fixed Price,2/14/2025,2/28/2025,,TBD,ACC OO,414TH CSB,USAFRICOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANDTA-25-P-0000 000266,,Beckman Coulter Maint.,No,No,$25K to $250K,J066,334515,,CONTR,,Firm Fixed Price,11/26/2024,12/10/2024,3/30/2025,60,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W56KGU-25-2-0069,,FY25 APEX Award - Union County Econ Dev Corp,,,< $25K,R499,,,CA,,Cost No Fee,,,,12,ACC CTRS,ACC-APG,OSD,ACC OSBP - APG,https://osbp.apg.army.mil
PANMCC-25-P-0000 003501,,11953205 MO001 GROUNDS BASE YR FY23 DEOB,,,< $25K,S208,,,,,,,,3/31/2025,12,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PAN410-25-P-0000 000129,W91QEX20P0007,Forklifts Lease ,No,No,$25K to $250K,W023,532490,NO SET ASIDE USED.,CONTR,,Firm Fixed Price,12/16/2024,12/23/2024,2/5/2025,60,ACC OO,410TH CSB,AMC: ASC,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
W56KGU-25-2-0052,,FY25 APEX Award-Region 1 Joint Planning Commission,,,< $25K,R499,,,CA,,Cost No Fee,,,,12,ACC CTRS,ACC-APG,OSD,ACC OSBP - APG,https://osbp.apg.army.mil
W91ZLK-25-1-0002,,FY25 Crater Crawl Training,,,$25K to $250K,N/A,,,AGMT,,Firm Fixed Price,,,12/1/2024,3,ACC CTRS,ACC-APG,FORSCOM,ACC OSBP - APG,https://osbp.apg.army.mil
PANRSA-24-P-0000 005036,,"Saudi MNG AH-6, SRSC PPSS",,,$50M to $100M,1520,,,CONTR,,Firm Fixed Price,,,6/30/2025,60,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANMCC-25-P-0000 003626,,PR TBD MAID-IQ CONSTRUCT BURN TOWER FIRE RESCUE,No,No,$1M to $5M,Z2AZ,236220,,DO NEG,,Firm Fixed Price,,,1/13/2025,6,MICC,419TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANAPG-24-P-0000 017832,,Resilient Anti Jam Modem (RAM),,,< $25K,UNKNOWN,,,CONTR,,Fixed Price Incentive,,,,12,ACC CTRS,ACC-APG,PEO C3T,ACC OSBP - APG,https://osbp.apg.army.mil
W56KGU-25-2-0011,,FY25 APEX Award - Dept De Desarrollo Econ Y Com,,,< $25K,R499,,,CA,,Cost No Fee,,,,12,ACC CTRS,ACC-APG,OSD,ACC OSBP - APG,https://osbp.apg.army.mil
PANDTA-25-P-0000 001709,,DFIM - IT MAINT and SVCs Tier I-III Contractor SPT,,,$1M to $5M,N/A,,,,,,,,12/18/2024,12,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANAPG-23-P-0000 019303,,RS3-24-0007 FLAIR,Yes,No,≥ $250M,R425,541715,,DO NEG,,Cost Plus Fixed Fee,2/18/2025,3/20/2025,5/29/2025,60,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
PANMCC-25-P-0000 002251,,sUAS and Robotics Task Writers,,,$1M to $5M,N/A,,,CONTR,,Firm Fixed Price,1/24/2025,2/12/2025,3/24/2025,36,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PAN413-25-P-0000 000790,,Latrines - PFAR BTRY Training - 2-6DEC24,,,< $25K,W085,,,DO,,Firm Fixed Price,,,12/2/2024,1,ACC OO,413TH CSB,USARPAC,ACC OSBP - 413th,usarmy.redstone.acc.mbx.acc-sb@army.mil
W15QKN-21-D-5034 0004,,"Snow Removal- Greensburg, PA (PA042) OY3 TO",,,< $25K,S218,,,DO,,Firm Fixed Price,11/1/2024,,,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W519TC-25-R-SEAM,47QTCK18D0004,CDAO - AI TALENT 2.0 - MA - UD-SEAM BY AI/ML,,,$10M to $25M,UNKNOWN,,,BPA,,Order Dependent,11/27/2024,12/6/2024,12/31/2024,48,ACC CTRS,ACC-RI,CDAO,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W58RGZ-25-R-0034,,PRID GB756   NIIN: 01-544-8954    5-YEAR IDIQ,,,$5M to $10M,1680,,,CONTR,,Firm Fixed Price,3/28/2025,4/11/2025,6/2/2025,60,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANMCC-25-P-0000 003426,W9124D18D0004,10th-Atlanta-AMS-New,,,$5M to $10M,R408,,,DO NEG,IDC,Firm Fixed Price,1/9/2025,2/11/2025,2/27/2025,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W564KV-24-R-0060,,"SPD PPE for Shtip, N. Macedonia",,,$250K to $1M,4210,,,CONTR,,Firm Fixed Price,11/4/2024,12/2/2024,,12,ACC OO,409TH CSB,USEUCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANAPG-24-P-0000 023058,,RECON V AE24095 GG-B-UEA Line 017,,,$250K to $1M,N/A,,,CONTR,,Firm Fixed Price,1/14/2025,1/28/2025,11/29/2024,6,ACC CTRS,ACC-APG,AMC: CECOM,ACC OSBP - APG,https://osbp.apg.army.mil
PANROC-25-P-0000 003363,,Purchase of WHC-PRO-12 Plasma Cutting Table System,,,$25K to $250K,3438,,,PO,,Firm Fixed Price,,,12/12/2024,6,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANORL-22-P-0000 002163,,Gary Lehmann RPA Training Cabinet,,,$1M to $5M,6910,,,CONTR,,Firm Fixed Price,,,,36,ACC CTRS,ACC-ORL,PEO STRI,ACC OSBP - ORL,usarmy.orlando.peo-stri.list.office-of-small-business-programs@army.mil
W90VN7-25-R-A004,,CN/KN/Repair Airfield Pavement Markings /ak13kok,,,$250K to $1M,Z2FZ,,,CONTR,,Firm Fixed Price,11/4/2024,12/2/2024,,7,ACC OO,411TH CSB,AIR FORCE,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
W911W4-06-D-0001 0002,,Labor ,,,$250K to $1M,N/A,,,DO NEG,,Cost Plus Fixed Fee,,,,12,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W912CH-24-Q-0055,,"EH4C0506EH  SLING,BEAM TYPE",,,$25K to $250K,3940,333923,,CONTR,,Firm Fixed Price,8/8/2024,2/20/2025,12/9/2024,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W15QKN-21-D-5038 XXX9,,"Snow - Smithfield, PA222 (OY4 T/O)",,,$25K to $250K,S218,,,DO,,Firm Fixed Price,10/7/2025,,,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W5168W-25-R-0030,W9124M20D0001,BASOPS Ft. Stewart ,,,≥ $250M,S216,,SERVICE DISABLED VETERAN OWNED SMALL BUSINESS SET-ASIDE,CONTR,,Firm Fixed Price,2/19/2025,4/30/2025,8/22/2025,66,MICC,FDO FSH,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-25-P-0000 008296,,Spectrum TV/WIFI services,,,$250K to $1M,DG10,,,CONTR,,Firm Fixed Price,,,12/16/2024,12,MICC,418TH CSB,MEDCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W9124D-25-R-0030,W9124D18D0003,9th-Amarillo-AMS-New,No,No,$1M to $5M,R408,561110,,DO NEG,IDC,Firm Fixed Price,12/5/2024,1/8/2025,1/31/2025,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PAN413-25-P-0000 000054,W912CN24D0003,DFAC FOOD WASTE/DISP RENEWAL BASE+5 ,,,$250K to $1M,UNKNOWN,,SMALL BUSINESS SET ASIDE - TOTAL,CONTR,,Firm Fixed Price,3/31/2025,4/30/2025,4/1/2025,12,ACC OO,413TH CSB,AMC: IMCOM,ACC OSBP - 413th,usarmy.redstone.acc.mbx.acc-sb@army.mil
W9124D-25-R-0044,W9124D18D0003,"2nd-Portland, ME-AMS-New",No,No,$1M to $5M,R408,561110,,DO NEG,IDC,Firm Fixed Price,12/6/2024,1/8/2025,1/31/2025,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANAPG-24-P-0000 016413,,Building 6 - Bay 6 Building Column Repairs,,,$25K to $250K,Y1EZ,,,DO NEG,,Firm Fixed Price,,,1/31/2025,3,ACC CTRS,ACC-APG,AMC: CECOM,ACC OSBP - APG,https://osbp.apg.army.mil
PANROC-23-P-0000 007405,,PBA FY25 Setback Pin,,,$25K to $250K,1330,,,CONTR,,Firm Fixed Price,12/6/2024,12/20/2024,3/29/2025,12,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANDTA-23-P-0000 006796,,E2FDS Test Asset Refurb Delivery Order,,,≥ $250M,3835,,,DO,,Firm Fixed Price,10/31/2024,,2/17/2025,TBD,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W912CH-25-Q-0030,,EH4C0953EH HEATING ELEMENT,,,< $25K,4520,,,PO,,Firm Fixed Price,,,1/15/2025,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANORL-24-P-0000 002485,,SETA II PM CT2,,,$5M to $10M,R408,,,DO NEG,,Firm Fixed Price,12/6/2024,12/20/2024,11/29/2024,12,ACC CTRS,ACC-ORL,PEO STRI,ACC OSBP - ORL,usarmy.orlando.peo-stri.list.office-of-small-business-programs@army.mil
PAN411-24-P-0000 003049,,SP/USFK J65 VTC Modification/PY/cmd23dn,,,$250K to $1M,7G21,,,CONTR,,Firm Fixed Price,11/25/2024,12/18/2024,,2,ACC OO,411TH CSB,USPACOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
W9124D-25-R-0012,W9124D23F0358,6th-Indianapolis-AMS-New,No,No,$5M to $10M,R408,561110,,DO NEG,,Firm Fixed Price,11/4/2024,12/5/2024,1/1/2025,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-24-P-0000 019065,,FY25 Grease Traps Contract,,,$250K to $1M,S299,,,CONTR,,Firm Fixed Price,,,9/1/2025,12,MICC,419TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W912CH-24-Q-0097,,"EH4C0707EH  PIN,QUICK RELEASE",,,$25K to $250K,5315,,,CONTR,,Firm Fixed Price,12/18/2024,1/17/2025,3/3/2025,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-25-P-0000 000252,W91QF423P0023,New HVAC Automated Logic Systems (ALS),,,$250K to $1M,J045,,NO SET ASIDE USED.,CONTR,,Firm Fixed Price,3/25/2025,4/24/2025,7/1/2025,12,MICC,FDO EUSTIS,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W9124B-25-F-0012,,ROT 25-02: Latrine and Handwashing Stations,,,$250K to $1M,W085,,,DO,,Firm Fixed Price,11/5/2024,,,2,MICC,418TH CSB,FORSCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANRSA-23-P-0000 007666,,Planning Cabinet for HADES Procurement IDIQ,,,≥ $250M,1510,,,CONTR,,Firm Fixed Price,,,6/16/2026,120,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W91QV1-25-F-9922,,BASOPS_DC-24065-4J_Replace Telecom Doors,,,< $25K,M1AZ,,,DO,,Firm Fixed Price,11/25/2024,,12/6/2024,4,MICC,FDO FSH,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W15QKN-16-9-1002 2031,,MCDC RPP 22-10 (PLACEHOLDER - TBD),,,< $25K,AD23,,,DO NEG,,Cost Plus Fixed Fee,,,,TBD,ACC CTRS,ACC-NJ,JPEO CBRND,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANMCC-25-P-0000 002426,,Caisson Farrier FY25,,,$250K to $1M,R416,,,CONTR,,Firm Fixed Price,12/17/2024,12/23/2024,1/2/2025,60,MICC,FDO FSH,MDW,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PAN413-25-P-0000 000370,,Decrement $18970.00 from CLIN23 to CLIN5,,,< $25K,N/A,,,,,,,,11/30/2024,1,ACC OO,413TH CSB,AMC: IMCOM,ACC OSBP - 413th,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANDTA-21-P-0000 012719,,FMS: AE-B-ZVA UAE RESET II,,,$50M to $100M,R425,,,CONTR,,Firm Fixed Price,,,,42,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANRSA-25-P-0000 004598,,23D0011/23F0149; Increase Obligation SLIN 1028AA,,,$50M to $100M,J016,,,,,,,,12/6/2024,12,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
UNAWRD-24-B-L002,,2024L-02 SAMD Logistics Recompete ,No,No,$25M to $50M,R499,541614,,DO NEG,,Time and Materials,12/16/2024,1/28/2025,1/21/2025,4,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
